# Tile map, in 48 20x15 screens, and spillover into 15 partial screens
# Start screen is in upper left corner. First tiles of each row are 256 bytes apart
# Each tile takes up two bytes in the map
#
# Screen map (screen index:starting VRAM address[:size, def=20x15]):
#  0:4000  1:4028  2:4050  3:4078  4:40A0  5:40CB  6:40F0:8x15
#  7:4F00  8:4F28  9:4F50 10:4F78 11:4FA0 12:4FCB 13:4FF0:8x15
# 14:5E00 15:5E28 16:5E50 17:5E78 18:5EA0 19:5ECB 20:5EF0:8x15
# 21:6D00 22:6D28 23:6D50 24:6D78 25:6DA0 26:6DCB 27:6DF0:8x15
# 28:7C00 29:7C28 30:7C50 31:7C78 32:7CA0 33:7CCB 34:7CF0:8x15
# 35:8B00 36:8B28 37:8B50 38:8B78 39:8BA0 40:8BCB 41:8BF0:8x15
# 42:9A00 43:9A28 44:9A50 45:9A78 46:9AA0 47:9ACB 48:9AF0:8x15
# 49:A900 50:A928 51:A950 52:A978 53:A9A0 54:A9CB 55:A9F0:8x15
# (Screens 56-61 are all 20x8)
# 56:B800 57:A928 58:A950 59:A978 60:A9A0 61:A9CB 62:A9F0:8x8
#
# Level 1: 4000                                                                                      Level 9: 4028                                                                                        Level 17: 4050                                                                                       Level 25: 4078                                                                                       Level 33: 40A0                                                                                       Level 41: 40C8                                                                                       Overflow:40F0
0300 0e00 0400 0e00 0508 050c 0e00 0200 020C 0000 0200 020C 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0300  0340 0e00 0e00 0e00 0540 074c 0140 0140 024c 0000 0240 024c 0e00 0340 0e00 0e00 0e00 0e00 0e00 0340  0350 0e00 0e00 0450 0e00 0350 0e00 0e00 0e00 0050 0e00 0e00 0e00 0350 0350 0e00 0350 0e00 0e00 0350  9470 9470 9470 9470 9470 0560 056c 0e00 0e00 0000 0d60 0000 0360 9470 9470 9470 9470 9470 9470 9470  9470 0300 0e00 0e00 0e00 0800 0100 0100 050c 0000 0508 0100 0100 080c 0e00 0200 0100 0700 0504 9470  9470 9470 9470 9470 9470 0540 054C 0e00 0e00 0000 0d40 0000 0340 9470 9470 9470 9470 9470 9470 9470  0000 0000 0000 0000 0000 0000 0000 0000
0300 0f00 040C 0e00 0500 0504 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0200 0100 0100 0100 020C 0f00 0300  0340 0f00 0940 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0340 0e00 0240 0140 024c 0f00 0340  0350 0f00 0250 0554 0e00 0550 025c 0e00 0450 0a00 0450 0e00 0250 075c 0554 0e00 0550 025c 0f00 0350  9470 9470 9470 9470 9470 9470 0560 0160 056c 0e00 0860 0160 0564 9470 9470 9470 9470 9470 9470 9470  9470 0300 0f00 0900 0e00 0500 0100 0100 0504 0e00 0500 0100 0100 0504 0e00 0b00 1100 0300 9470 9470  9470 9470 9470 9470 9470 9470 0540 0140 054C 0e00 0840 0140 0544 9470 9470 9470 9470 9470 9470 9470  0000 0000 0000 0000 0000 0000 0000 0000
0300 0e00 0e00 0e00 0e00 0e00 0e00 0508 050c 0a00 0508 050c 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0300  0340 0e00 0e00 0e00 0548 0140 0140 0140 054c 0a00 0548 0140 0140 084c 0e00 0e00 0e00 0e00 0e00 0340  0350 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0350 1100 0350 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0350  9470 9470 9470 9470 9470 9470 9470 9470 0360 0e00 0360 9470 9470 9470 9470 9470 9470 9470 9470 9470  9470 0300 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0508 0100 0504 9470 9470  9470 9470 9470 9470 9470 9470 9470 9470 0340 0e00 0340 9470 9470 9470 9470 9470 9470 9470 9470 9470  0000 0000 0000 0000 0000 0000 0000 0000
0500 0100 0100 0100 0100 0100 0100 070C 080C 1100 0800 070C 0100 0100 0100 0100 0100 0100 0100 0504  0540 0140 0140 0140 074c 0140 0140 0140 084c 1100 0840 0140 0140 074c 0140 0140 0140 0140 0140 0544  0550 0150 0150 0150 0150 0150 0150 0150 0650 0c50 0650 0150 0150 0150 0150 0150 0150 0150 0150 0554  9470 9470 9470 9470 9470 9470 9470 9470 0360 0a00 0360 9470 9470 9470 9470 9470 9470 9470 9470 9470  9470 0500 0100 0100 0100 0100 0100 0100 050c 0a00 0508 0100 0100 0100 0100 0504 9470 9470 9470 9470  9470 9470 9470 9470 9470 9470 9470 9470 0340 0a00 0340 9470 9470 9470 9470 9470 9470 9470 9470 9470  0000 0000 0000 0000 0000 0000 0000 0000
1000 1200 0000 0000 1100 1200 0000 0000 0800 0c00 080C 0000 0000 0000 0000 0000 0000 0000 0000 0000  1000 1200 0000 0000 1100 1200 0000 0000 0840 0c40 084c 0000 0000 0000 0000 0000 0000 0000 0000 0000  1000 1200 3400 0000 1100 1200 3000 0000 0350 0000 0350 0000 0000 0000 0000 0000 0000 0000 0000 0000  1000 1200 0000 0000 1100 1200 0000 0000 0360 0000 0360 0000 0000 0000 0000 0000 0000 0000 0000 0000  1000 1200 0000 0000 1100 1200 0000 0000 0800 0c00 080c 0000 0000 0000 0000 0000 0000 0000 0000 0000  1000 1200 0000 0000 1100 1200 0000 0000 0340 0000 0340 0000 0000 0000 0000 0000 0000 0000 0000 0000  0000 0000 0000 0000 0000 0000 0000 0000
# Level 2: 4F00                                                                                      Level 10: 4F28                                                                                       Level 18: 4F50                                                                                       Level 26: 4F78                                                                                       Level 34: 4FA0                                                                                       Level 42: 4FC8
0000 0000 4c00 4500 5600 4500 4c00 3a00 0340 0000 0340 3200 0000 0000 1300 1400 1500 1600 1700 0000  0000 0000 4c00 4500 5600 4500 4c00 3a00 0350 0000 0350 3100 3000 0000 1300 1400 1500 1600 1700 0000  0000 0000 4c00 4500 5600 4500 4c00 3a00 0360 0000 0360 3100 3800 0000 1300 1400 1500 1600 1700 0000  0000 0000 4c00 4500 5600 4500 4c00 3a00 0300 0000 0300 3200 3600 0000 1300 1400 1500 1600 1700 0000  0000 0000 4c00 4500 5600 4500 4c00 3a00 0340 0000 0340 3300 3400 0000 1300 1400 1500 1600 1700 0000  0000 0000 4c00 4500 5600 4500 4c00 3a00 0350 0000 0350 3400 3200 0000 1300 1400 1500 1600 1700 0000  0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 5300 4300 4f00 5200 4500 3a00 0840 0c40 084c 0000 0000 0000 0000 0000 0000 0000 0000 0000  0000 0000 5300 4300 4f00 5200 4500 3a00 0850 0c50 085c 0000 0000 0000 0000 0000 0000 0000 0000 0000  0000 0000 5300 4300 4f00 5200 4500 3a00 0860 0c60 086c 0000 0000 0000 0000 0000 0000 0000 0000 0000  0000 0000 5300 4300 4f00 5200 4500 3a00 0800 0C00 080C 0000 0000 0000 0000 0000 0000 0000 0000 0000  0000 0000 5300 4300 4f00 5200 4500 3a00 0340 0000 0340 0000 0000 0000 0000 0000 0000 0000 0000 0000  0000 0000 5300 4300 4f00 5200 4500 3a00 0850 0C50 085C 0000 0000 0000 0000 0000 0000 0000 0000 0000  0000 0000 0000 0000 0000 0000 0000 0000
0548 0140 0140 0140 0140 0140 0140 0140 0544 0a00 0540 0140 0140 0140 0140 0740 0140 0140 0140 054c  0558 0150 0150 0150 0150 0150 0150 0150 085c 0000 0850 0150 0150 0150 0150 0150 0150 0150 0150 055c  0568 0160 0160 0160 0160 0160 0160 0160 0564 0a00 0560 0160 0160 0160 0160 0160 0160 0160 0160 056c  9470 0508 0100 0100 0100 0100 0100 0100 0504 0A00 0500 0100 0100 0100 0100 0100 0100 0100 0100 050C  9470 0548 0140 0140 0140 0140 0140 0140 0544 0A00 0340 9470 9470 9470 9470 9470 9470 9470 9470 9470  0558 0150 0150 0150 0150 0150 0150 0150 0554 0A00 0550 0150 0150 0150 0150 0150 0150 0150 0150 055C  0000 0000 0000 0000 0000 0000 0000 0000
0340 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0340 0e00 0e00 0e00 0340  0350 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0350 1100 0350 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0350  0360 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0360  9470 0300 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0300  9470 0340 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0340 9470 9470 9470 9470 9470 9470 9470 9470 9470  0350 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0350  0000 0000 0000 0000 0000 0000 0000 0000
0340 0f00 0240 024c 0e00 0548 0140 0140 024c 0e00 0240 0140 0140 054c 0e00 0340 0e00 0440 0f00 0340  0350 0f00 0250 0150 0150 0150 025c 0e00 045c 0a00 045c 0e00 0250 0150 0150 0150 0150 025c 0f00 0350  0360 0f00 0260 0160 0160 026c 0e00 0260 0160 0160 0160 026c 0e00 0568 056c 0e00 0568 056c 0f00 0360  9470 0300 0F00 0400 0E00 0508 0100 0100 0100 0100 0100 0100 0100 050C 0E00 0400 0E00 0400 0F00 0300  9470 0340 0E00 0548 0140 0140 0140 0140 0140 0140 074C 0140 0140 0140 0140 054C 9470 9470 9470 9470  0350 0F00 0250 055C 0E00 0558 0150 0150 025C 0E00 0250 0150 0150 055C 0E00 0558 0150 025C 0F00 0350  0000 0000 0000 0000 0000 0000 0000 0000
0340 0e00 0e00 0e00 0e00 0340 0e00 0e00 0e00 0e00 0e00 0e00 0e00 044c 0e00 0340 0e00 044c 0e00 0340  0350 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0350  0360 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0560 0564 0e00 0560 0564 0e00 0360  9470 0300 0E00 0300 0E00 0300 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0300 0E00 0300 0E00 040C 0E00 0300  9470 0340 0E00 0340 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0340 9470 9470 9470 9470  0350 0E00 0E00 0350 0E00 0350 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0350 0E00 0350 0E00 0E00 0E00 0350  0000 0000 0000 0000 0000 0000 0000 0000
0340 0e00 0240 0140 0140 0544 0e00 0548 1840 1840 1840 054c 0e00 0e00 0e00 0340 0e00 0e00 0e00 0340  0850 055c 0e00 0250 0150 025c 0e00 0558 1800 1800 1800 055c 0e00 0250 0150 0150 025c 0e00 0558 085c  0860 0760 026c 0e00 0260 026c 0e00 0568 1800 1800 1800 056c 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0360  9470 0300 0E00 040C 0E00 040C 0E00 0508 1800 1800 1800 050c 0E00 040C 0E00 040C 0E00 0E00 0E00 0300  9470 0340 0E00 0340 0000 0940 0000 0548 1800 1800 1800 054C 0000 0940 0000 0340 9470 9470 9470 9470  0550 055C 0E00 0350 0E00 045C 0E00 0558 1800 1800 1800 055C 0E00 045C 0E00 0350 0E00 0450 0E00 0350  0000 0000 0000 0000 0000 0000 0000 0000
0340 0e00 0e00 0e00 0e00 0e00 0e00 0340 0000 0000 0000 0340 0e00 0240 0140 074c 024c 0e00 0240 0640  0650 0554 0e00 0e00 0e00 0e00 0e00 0350 0000 0000 0000 0350 0e00 0e00 0e00 0e00 0e00 0e00 0550 0650  0660 0564 0e00 0e00 0e00 0e00 0e00 0360 0000 0000 0000 0360 0e00 0260 0160 0160 026c 0e00 0260 0660  0700 0504 0E00 0E00 0E00 0E00 0E00 0300 0000 0000 0000 0300 0E00 0E00 0E00 0E00 0E00 0200 0100 0600  0140 0544 0e00 0340 0000 0000 0000 0340 0000 0000 0000 0340 0000 0000 0000 0340 9470 9470 9470 9470  9470 0350 0E00 045C 0E00 0E00 0E00 0350 0000 0000 0000 0350 0E00 0E00 0E00 045C 0E00 0350 0E00 0350  0000 0000 0000 0000 0000 0000 0000 0000
0340 0e00 0240 024c 0e00 0440 0e00 0840 0140 0140 0140 084c 0e00 0e00 0e00 0e00 0e00 0e00 0b00 0d40  0d50 0b00 0e00 0250 0150 025c 0e00 0550 0150 0750 0150 0554 0e00 0250 0150 0150 025c 0e00 0b00 0d50  0d60 0b00 0e00 0260 0160 026c 0e00 0560 0160 0160 0160 0564 0e00 0e00 0e00 0e00 0e00 0e00 0b00 0d60  0D00 0B00 0E00 0400 0E00 0400 0E00 0500 0100 0100 0100 0504 0E00 0400 0E00 0400 0E00 0B00 1100 0D00  0000 0b00 0e00 0540 0140 0140 0140 0640 0140 0140 0140 074c 0140 0140 0140 0544 9470 9470 9470 9470  9470 0350 0E00 0E00 0E00 0450 0E00 0550 0150 0150 0150 0554 0E00 0450 0E00 0E00 0E00 0350 0E00 0350  0000 0000 0000 0000 0000 0000 0000 0000
0340 0e00 0e00 0e00 0e00 0340 0e00 0540 0140 0140 0140 0544 0e00 0548 054c 0e00 0440 0e00 0240 0640  0650 025c 0e00 0e00 0e00 0e00 0e00 0e00 0e00 045c 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0250 0650  0660 026c 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0260 026c 0e00 0260 0160 0160 0660  070c 050c 0E00 0300 0E00 0300 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0300 0E00 0300 0E00 0200 0100 0600  0140 054c 0e00 0e00 0e00 0e00 0e00 0540 0140 0140 0740 0140 054c 9470 9470 9470 9470 9470 9470 9470  0558 0554 0E00 0450 0E00 0350 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0350 0E00 0450 0E00 045C 0E00 0350  0000 0000 0000 0000 0000 0000 0000 0000
0340 0e00 0548 054c 0e00 0340 0e00 0e00 0e00 0000 0e00 0e00 0e00 0340 0340 0e00 0340 0e00 0e00 0340  0350 0e00 0e00 0558 0150 055c 0e00 0450 0e00 0000 0e00 0450 0e00 0558 0150 0150 055c 0e00 0e00 0350  0360 0e00 0e00 0460 0e00 0460 0e00 0260 026c 0000 0260 026c 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0360  9470 0300 0F00 040C 0E00 0500 0100 0100 020C 0000 0200 0100 0100 0504 0E00 040C 0E00 0E00 0E00 0300  9470 0840 0140 0140 0140 054c 0e00 0e00 0e00 0000 0d40 0000 0340 9470 9470 9470 9470 9470 9470 9470  0350 0E00 0E00 0350 0E00 0850 0750 0150 025C 0000 0250 0150 0750 085C 0E00 0350 0E00 0E00 0E00 0350  0000 0000 0000 0000 0000 0000 0000 0000
0340 0f00 0540 0544 0e00 0540 024c 0e00 0440 0a00 0440 0e00 0240 074c 0544 0e00 0540 024c 0f00 0340  0350 0f00 0250 075c 0150 0554 0e00 0550 0150 0150 0150 0554 0e00 0550 0150 0150 075c 025c 0f00 0350  0360 0f00 0260 0564 0e00 046c 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0260 0160 0160 0160 026c 0f00 0360  9470 0300 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0900 0F00 0300  9470 0340 0000 0000 0000 0840 0140 0140 0140 0140 074c 0140 0544 9470 9470 9470 9470 9470 9470 9470  0350 0F00 0250 0554 0E00 0550 0554 0E00 0E00 0E00 0E00 0E00 0550 0554 0E00 0550 0150 025C 0F00 0350  0000 0000 0000 0000 0000 0000 0000 0000
0340 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0340 1100 0340 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0340  0350 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0350  0360 0e00 0e00 0e00 0e00 0e00 0e00 0568 056c 0a00 0568 056c 0e00 0e00 0e00 0e00 0e00 0e00 0e00 0360  9470 0500 0100 0100 0100 0100 0100 0100 050C 0A00 0508 0100 0100 0100 0100 050C 0E00 0E00 0E00 0300  9470 0340 0000 0000 0000 0340 9470 9470 9470 9470 9470 9470 9470 9470 9470 9470 9470 9470 9470 9470  0350 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0450 0A00 0450 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0E00 0350  0000 0000 0000 0000 0000 0000 0000 0000
0540 0140 0140 0140 0140 0140 0140 0140 0640 0c40 0640 0140 0140 0140 0140 0140 0140 0140 0140 0544  0550 0150 0150 0150 0150 0150 0150 0150 055c 0a00 0558 0150 0150 0150 0150 0150 0150 0150 0150 0554  0560 0160 0160 0160 0160 0160 0160 076c 086c 1100 0860 076c 0160 0160 0160 0160 0160 0160 0160 0564  9470 9470 9470 9470 9470 9470 9470 9470 0300 1100 0300 9470 9470 9470 9470 0500 0100 0100 0100 0504  9470 0540 0140 0140 0140 0544 9470 9470 9470 9470 9470 9470 9470 9470 9470 9470 9470 9470 9470 9470  0550 0150 0150 0150 0150 0150 0150 0150 085C 1100 0850 0150 0150 0150 0150 0150 0150 0150 0150 0554  0000 0000 0000 0000 0000 0000 0000 0000
